Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Alignment_per_language$CaseSplitByCat.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$CaseSplitByPolarity.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$CaseSplitByRank.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$CaseSplitByRef.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$CaseSplitByValClass.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentAequivalentS.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentGequivalentP.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentMarker.overt,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentPequivalentS.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentPTG,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentSAP,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentSAPTG,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment$AlignmentTequivalentP.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Clause_linkage$AnticipatoryArgumenyMarking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$CataphoraConstraints,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$CategoricalSymmetry,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$ClauseLayer,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$ClausePosition,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_linkage$Embedding,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$ExtractionConstraints,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$Finiteness,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$FinitenessRatio,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$FinitenessSimplified,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$FocusMarking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$FocusMarkinginDependent,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$IllocutionaryMarking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$IllocutionaryScope,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$InterpropositionalSemanticRelation,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Clause_linkage$IntuitiveClassification,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$ReferenceTrackingSystem,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_linkage$TenseMarking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Clause_linkage$TenseScope,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Clause_word_order$PositionVBasicLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVBasicLex.binned.v1,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
