Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$VInfl_cat_multiexponence$VInflConnective.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflConstruct.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflControl.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflDeixis.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflFocus.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflGender.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflIllocution.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflMA.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflMN.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflModality.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflMood.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflMotion.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflMSE.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflNominalizer.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflNumber.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflPerson.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflPolarity.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflPosterior.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflPotentialis.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflQuantificational.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflRECIP.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflReferential.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflReflexive_and_Reciprocal.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflReflexive.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflRepetition.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflReversative.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflSemistem.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflSpatial.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflStatus.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflSwitch_reference.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflTA.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflTAM.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflTense_and_Evidential.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflTense.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflTM.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflValence.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflVersion.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_multiexponence$VInflVoice.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflAktionsart.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflApplicative.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflAspect.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflCausative.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflClassifier.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflConnective.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflConstruct.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflControl.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflDeixis.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflFocus.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflGender.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflIllocution.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflMA.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflMN.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflModality.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflMood.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflMotion.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflMSE.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflNominalizer.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflNumber.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflPerson.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflPolarity.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflPosterior.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflPotentialis.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflQuantificational.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflRECIP.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflReferential.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflReflexive_and_Reciprocal.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflReflexive.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflRepetition.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflReversative.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflSemistem.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflSpatial.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflStatus.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflSwitch_reference.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflTA.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflTAM.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflTense_and_Evidential.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflTense.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflTM.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflValence.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflVersion.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions$VInflVoice.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflAktionsart.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflApplicative.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflAspect.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflCausative.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflClassifier.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflConnective.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflConstruct.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflControl.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflDeixis.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflFocus.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflGender.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflIllocution.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflMA.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflMN.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflModality.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflMood.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflMotion.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflMSE.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflNominalizer.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflNumber.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflPerson.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflPolarity.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflPosterior.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflPotentialis.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflQuantificational.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflRECIP.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflReferential.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflReflexive_and_Reciprocal.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflReflexive.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflRepetition.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflReversative.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflSemistem.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflSpatial.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflStatus.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflSwitch_reference.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflTA.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflTAM.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflTense_and_Evidential.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflTense.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflTM.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflValence.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflVersion.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions4$VInflVoice.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflAktionsart.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflApplicative.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflAspect.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflCausative.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflClassifier.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflConnective.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflConstruct.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflControl.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflDeixis.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflFocus.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflGender.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflIllocution.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflMA.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflMN.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflModality.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflMood.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflMotion.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflMSE.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflNominalizer.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflNumber.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflPerson.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflPolarity.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflPosterior.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflPotentialis.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflQuantificational.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflRECIP.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflReferential.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflReflexive_and_Reciprocal.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflReflexive.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflRepetition.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflReversative.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflSemistem.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflSpatial.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflStatus.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflSwitch_reference.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflTA.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflTAM.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflTense_and_Evidential.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflTense.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflTM.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflValence.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflVersion.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_positions5$VInflVoice.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflAktionsart.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflApplicative.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflAspect.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflCausative.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflClassifier.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflConnective.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflConstruct.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflControl.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflDeixis.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflFocus.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflGender.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflIllocution.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflMA.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflMN.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflModality.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflMood.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflMotion.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflMSE.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflNominalizer.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflNumber.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflPerson.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflPolarity.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflPosterior.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflPotentialis.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflQuantificational.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflRECIP.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflReferential.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflReflexive_and_Reciprocal.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflReflexive.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflRepetition.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflReversative.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflSemistem.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflSpatial.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflStatus.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflSwitch_reference.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflTA.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflTAM.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflTense_and_Evidential.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_cat_postposed$VInflTense.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
